Text,Score
اولا شكر ل مؤسسة عدالة و المحامي الربابعه الذ ما زال اشخاص يهتمون بما هو مهم ... اخواني .. تناقل اللاعضاء من شخص الى اخر او التبرع بها ليس ب محرم ولا عمل منتقد اجتماعي واذا كنتم تتابعون برنامج لعيونك ل محمد الوكيل من المأكد سمعتم الاشخاص الذين يتبرعون من تلقاء انفسهم بشبكياتهم عند موافاتهم المنيه او شبكات افقدتهم .. لما لا يتم التبرع بهذه الطريقه لمنح الحياه او الصحه لفاقدها رغم ان المتبرع سوف يفقد الاثنتين اما الاهم سرقة اعضاء الاشخاص المستضعفين و اغرائهم بالمال القليل من اجل اخذ اعضائهم و هم لا حول ولا قوة لهم وانا ارجو هذه الافعال لعدم الرقابه الدوريه الطبيه اي الفحوص الطبيه على الحالات الصحيه للعماله الوافده و اجبار اصحاب مكاتب استقدام العماله و الاشخاص الذين لديهم استقدم العماله لمنشأته او منزله لفحوص شهريه دوريه للحفاظ على الصحه العامه اقلها للمجتمع التي تتواجد به تلك العماله وتلك مسؤولية وزارة العمل و وزارة الصحه مجتمعه بالعلم ان تلك الوزارتين تتحملان على عاتقها حمل ثقيل ... و يوجد سبب اخر الا وهو تفشي الفقر و زيادة التضخم والنقص في تأمين الاساسيات لفئه كبير من المجتمع مما يؤدي بهم للوقع ضحيه بين ايدي دراكولا او الاشخاص الذين يتاجرون بالاعضاء و هذه الاصعب ... نرجو من الله ان يحمي الاردن و قائده و العاملين على النهوض به ..,0
لست حزبي و لن اكون و لا يعنيني قرار المقاطعة هذا و لكني متردد في الذهاب الى مركز الاقتراع في الانتخابات السابقة ذهبت الى الانتخابات للمارسة حقي الدستوري ونوع من انواع المشاركة الوطنية ووضعت ورقة بيضاء حيث ان اي من المرشحين في دائرتي لم اجده مناسب الى موقع التشريع و الرقابة بل كانوا اقرب الى اعضاء بلدية من نواب و حيث ان المرشحين على ما يبدو لم يتغيروا و سيكون المنتصر او الفائز عشيرة على عشيرة اخرى و هو امر لا يعنيني ايضا على الرغم انني من ابناء عشيرة فعلا هذه المرة انا متردد في اضاعة وقتي غير الثمين في الذهاب الى مركز الاقتراع لمجرد تقديم ورقة بيضاء,0
لن انتخب دون اي رقابة على هذه الانتخابات من مؤسسات مدنية,0
لا يوجد اسماء للمرشحين على موقع ديوان الخدمة,0
نستغرب أنه في القرن الواحد و العشرون ما زلنا لا نستطيع تعبيد شارع صالح ل مرور السيارات و رصيف صالح للمشاة ،ما نوع الكفاءات التي تعمر بلدنا ؟مع تحفظي لكلمة كفء ،ألا يوجد تنسيق بين الجهات المختلفة ،بين الأشغال و المياه و الكهرباء !! و إذا كانت الأعمال الجارية من عشرات السنين تؤدي شوارع إربد من أسوأ ل أسوأ ،ألا يجيب مراجعة ل طريقة العمل .؟و شكرا,0
اسكن الحصن ومنذ خمس سنوات والوعود بتزفيت الشوارع المنطقة الشرقية ما زالت وعود دون تنفيذ,0
احيانا اتمنى ان تكون الشوارع ترابية لانها تكون افضل من الشوارع الحالية بحفرها ووجود مناهل دون اغطية وسط الشوارع وكم من سيارة كانت ضحية هذة المناهل والتي هي باقية دون حل لحد الان,0
كل هذه العقود و الأعمال الحفريات لا ترقى لأي مواصفات هندسية أو أي اعتبار للسلامة العامه ،يجب محاسبة المشرع و المسئول و المقاول على هذا التهاون في سلامة المواطن و أملاكه و الاستهتار تجاه الأردن الجميل,0
معظم الشوارع في إربد غير نظيفة،,0
مغبرة و متسخة و ضيقة و محفرة، و غير مرتبة و غير جميلة و غير مدهونة,0
إربد تحتاج إعادة تأهيل لشوارعها حتى تتناسب مع كونها المدينة الثانية في الأردن من حيث عدد السكان,0
اولا ابارك صحيفة الغذ الغراء على انتشارها الواسع بسبب شجاعتها في نشر الاخبار والاخبار السريعة وانا براي انتشرت اكثر لعشاق الرياضة وخصوصا الاخبار الخفيفة عن اللاعبين وانا بصراحة استغرب عن كيفية الحصول على تلك المعلومات وخصوصا الاخبار الخاصة عن اللاعبين,0
مرور 7 سنوات من عمر الصحيفة الغراء والى الامام باذن الله تعالى واقسم انكم سبقتم صحف محلية اخرى منتشرة من سنوات طويلة واعلم ان احدى الصحف لو انها غير محسوبة على جهة قوية لمنم اغلقتوها باسلوبكم,0
والى الامام والى الامام والتقدم,0
المحرر: نرحب بك وبرأيك دائماً، وبخصوص استفساراتك فيمكنك الاتصال على هاتف الجريدة 5544000 مع كل الشكر.,0
المحرر: نشكرك أخ محمد لاهتمامك وحرصك على التواصل والمساعدة، بإمكانك الاتصال على هذا الرقم للاستفسار بشكل أوضح 00962799003230.,0
نسيت أن أوجه التحية إلى الأخت المناضلة (هيلدا حبش)، رمز المرأة الفلسطينيه المناضلة الصابرة التي وقفت مع الحكيم وسندت ظهره في احلك الأوقات، تحية إجلال و تكريم إلى الأم المكافحة في فلسطين و سائر الأراضي العربية المحتلة في العالم العربي، فالجنات تحت أقدامهن.,0
رحمك الله أيها المقاوم الحر، أنت في قلب كل عربي و فلسطيني حر,0
اتمنى لكم المزيد من القدم والنجاح فما رايت في كل سنة غير الازدهار والتتطور امله ان اكون في يوم من الايام احدى ابناء جريدة الغد,0
كل عام وجريدة الغد بألف خير بمناسبة مرور سبع سنوات من عمرها المديد في عالم الصحافة المحلية والعربية.,0
"عندما صدر العدد الأول من الغد، كنت لا ازال طالبة في جامعة اليرموك، ومنذ ذلك العدد وأنا اواظب على قراءتها ابتداء بكاركاتير حجاج ذلك اليرموكي الذي يرسم بسمة على شفاة العمانين بشخصياته المحببة لنا جميعا ""ابو محجوب وزوجته"" وكذلك أبو محمد.",0
"أحيانا أقسو على الغد بتعليق او عبارة قد يعتبرها البعض قاسية، لكنها ليست كذلك أبدا، فما نريده أن يزداد تألق الغد أكثر فأكثر، وما العتب الذي أبديه عليها أحيانا الا من باب المحبة كما علمتنا فيروز ""ع قد المحبة العتب كبير"".",0
كل عام والغد بجميع الزملاء الصحفيين والمحررين والاداريين وكافة العاملين فيها بألف خير ..,0
الف مبروك لناشر الصحيفة محمد عليان وللعاملين فيها من إداريين وصحفيين.,0
الخبر يعود بذاكرتي إلى عام 2004 عندما بدأنا التحضير لإطلاق الصحيفة التي تتبوأ موقعا مميزا في الساحة الإعلامية المحلية.,0
أنا كنت ممن تقدموا للعمل في الصحيفة عند افتتاحها، وقد تحديد مقابلة عمل معي ولكني اعتذرت عنه حينها بسبب حصولي على وظيفة أخرى. لكني منذ ذلك الحين أصبحت قارئة مخلصة للغد ، وستبقى الغد جريدتي المفضلة دوما. أمنياتي بدوام التقدم والازدهار للغد وبالتوفيق لجميع كادر الغد ابتداء من رؤساء التحرير انتهاء بموزعي الصحف.,0
الى جريدة الغد كل عام وانت حبيبتي . كل عام وانتم بخير لكل من يعمل بهذه الصحيفة الراقيه . كل عام وانتم بخير لكل الاوفياء الذين ساهموا في النجاح الباهر لهذا الصرح العظيم ومنذ انطلاقته.والى الاخ محمد عليان كل الحب والتقدير على هذه الجرأه العالية في الدخول الى هذا المضمار الصعب الذي اثبت انك جدير به واهل له وبكل اقتدار استحوذت على مساحه واسعه منه لتحتل عقول وقلوب قراء الغد فإلى الامام أيها الشجاع وفقك الله ورعاك .,0
نتوجه لأسرة الغـــد عامة بأحر التهاني و التبريكات متمنين لكم مزيـــداً من التقدم و النجاح.,0
مصداقيتكم ومهنيتكم و دعمكم لحرية التعبير عن الرأي ارتقت بصحيفتكــم لتكون من اكثر الصحف الاردنية شعبية و متابعة من داخل الاردن و خارجه.,0
مبروك للغد ولكل موظف قائم على هذه الجريدة القيمه بين ايدينا.ودائما للازدهار,0
انا من متصفحيها بأستمرار واحب كل مواضيعها,0
فمبارك عليكم عامكم السابع,0
واتمنى لكم مزيد من التقدم والنجاح,0
انا من احد قراء هذا الصحيفة المتمتميزة منذا نشأتها الاولى في عام 2004 حيث امتازة بدقة الخبر ومصدقية,0
وكانت لها الاثر الابلغ في بناء ثقافة حوار بينها وبين المواطن والتفاعل معه من خلال طرح قضايا مختلفة في حياتنا اليومية,0
وفي هذا المناسبة اتقدم لكافة القائمين عليها بكل معاني الاحترام والتقدير للجهود التي تبذلوها من اجل صنع الخبر ونشره بادق التفاصيل وبمهنية عالية .,0
بذلك تعتبر الضريبة في المجمل 30% من القيمة الأصلية، أي بطاقة 12 دينار ستباع ب 15.6 وهكذا,0
لم و لن تشكّــل ايران أي تهديد على الكيان الصهيوني.,0
"اما اذا ما قامت حرب في المنطقة و كانت ايران طرف فيها فسوف تشعل الخليج العربي بالكامل قبل أن تلتفــت لـ ""تل أبيب""",0
حذاري يا عرب يا مسلميـــــن,0
أو لا تحذروا .. فنحن فقط نتابع اللعبة دون أن نغيّر في المجريات أو القواعــد.,0
لماذا إسرائيل لها الحق بالنّووي,0
"في نفس الوقت كان سيسبب خساره كبيره للمصانع, تغيره يجب الاعلان عنه قبل نهاية العام, و ليس قبل بدايته.",0
هل بلدة مليح دولة مستقلة عن دولة لب اليست المسافاة التي تفصل البلديتين لا تتجاوز الكيلو مترات السنا كلنا اقارب واهل لماذا هذه النظرة من الأعضاء,0
ذاكرة فتاة هيئت لمعيشة الواقع,0
رائعون والى الامام محبتي للكل,0
كلام في مجمله صحيح يا حبذا لو أن الحكومة الرشيدة تنظر بعين الرأفة للمواطنين بالفعل و ليس من وراء الجدران طيلة العام و بالاخص طيلة شهر رمضان المبارك لأن من المتوقع أن تكون الاسعار مرتفعة في رمضان في بعض الأحيان أذهب مع أمي الى سوق شعبي يُقام كل اسبوع لأجد أن الخضار و الفاكهة ذات جودة و الله رديئة و نادراً ما تجد عند بائع واحد أو إثنين بضاعة جيدة و ليست ممتازة أما الباقي فهي بضاعة مضى عليها فترة طويلة و لم تُبع و مع ذلك أسعارها غير عادلة ، لذا أطلب نيابة عن كل أصحاب الدخول المنخفضة و المعتدلة النظر بحال تلك الأسواق بجدية و أن تكون مقامة من اجل الهدف التي أنشئت من أجله,0
اعتقد ان الطلب على الاسماك سيقل أكثر وأكثر في رمضان,0
سوف تعلم ان الوحدات لا يدين بشيء لاحد الا لخالقه عزوجل وانظر هذا الموسم لنتائج الفيصلي لتعلم ان الوحدات هو صاحب الانجاز وليس الحج اكرم رغم محبتنا له وعدم انكار جهوده,0
مبروك للاهلي مسبقا لانه يستحق اللقب الذي غاب عنه فترة بسبب الحكام,0
الزعيم الحقيقي هو من يحقق نتائج لافتة خارجيا وقادر على مقارعة أية فريق مهما كان اسمه حتى اسم رقما صعبا على المستوى الخارجي وليس الزعيم الذي ما زال غير قادر على طبع بصماته على المستوى الخارجي,0
هدأت نبرة البعض في الحديث و تغير اسلوب الحديث و اخذ يميل الى تهدئة الخواطر,0
هذا الشيئ اعتدنا عليه,0
انتهت جميعها وحداتية بالتخصص,0
أكبر نتيجة بين الفريقين هي (4-1) في شهر آب 1995 وهدف العوضات التاريخي من على خط التماس ومن بعد 30م تقدم الزعيم في الشوط الأول (3-0) واختتم جعفر حماد الرباعية للعلم هذه أكبر نتيجة بين الفريقين في مجمل اللقاءات والنتيجة الثانية مسجلة باسم الزعيم كذلك (5-3) في الدوري وللعلم كذلك لم يسبق للشقيق الوحدات تسجيل أكثر من 3 أهداف في مرمى الزعيم بعكس الزعيم فهناك (5 و4) شكرا,0
طبعا المباراة صعبه عل الطرفين ولا احد يستطيع التكهن بنتيجة المباراة حتى اللاعبين والجهاز الفني لايسنطيع الجزم بالفوز في هذه المباراة ومن يقول غير ذلك فهو غير مثقف رياضيا ولكن تبقى الامنيات لكل طرف وبصفتي فيصلاويا اتمناه بان تكون للزعيم باذن الله,0
صبـــــاحكم غــد,0
أما بالنسبة للقرعة ومكان إقامة المباراة فنقول أن الوحدات لا يلتفت لهذه الأمور لأن نادينا على ثقة بلاعبيه وبجماهيره إلا أن الاعتراض من الوحدات كان ردة فعل على ما تقدم به الطرف الآخر من اعتراض على اللعب في القويسمة.,0
"لكن بما أن كل نادي يعترض على ملعب بحجة أنه أرض الخصم ""نظرياً"" كان الأجدر بالاتحاد أن يقيم المباراة على أرض محايدة ""ستاد الحسن مثلاً""",0
عيد سعيد لجريدة الغد الاردنيه كل عام وانتم بخير يا شباب بالتوفيق دائما وكل الشكر لصاحب الكلمات الانيقه علي الشريف,0
كلمات جميلة وعذبة والغد تستحق هذا المقال لانها صحيفة ذات اهمية وواقعية مميزة ونهنئ الكاتب بهذا الراي الرائع والكلمات العذبة,0
الاردني وصحيفتنا الغد تلازمنا في,0
كل مكان وزمان اصبحت جزءا من حياتنامن ثقافتنا عشقناالدائم,0
والمتجدد الصوت الاعلامي المميز والمتزن موسوعه بين ايدي قرائها,0
علي الشريف الذي يمتعنا في منتدى,0
سيكون هذا المكان سعيدا بتواجدك,0
اكرر التبريك لصحيفتنا الغد,0
ان تكتم سر حبك فهذا أمره يعود اليك ولكنك يا علي كسرت العشق والغرام وبحت بادق الاسرار فهل يا ترى قبل ان نخوض بالتفاصيل تبادلك المحبوبة نفس الشعور ولو بنظرة تثلج الصدور,0
اود ان ابارك هذا الحب العذري في الذكرى السابعة لغد مشرق وعناد التحدي قد عانق السحاب,0
رائع هذا الغزل...تستحق الغد احرفك الذهبيه يا علي كل عام وانت بخير يا جريدة الغد العيد السابع,0
بالتوفيق للزعيم اليوم هو و شقيقه الرمثا في تقديم مباراة و لا اروع و معروف ان مباراة الوحدات و الرمثا من اجمل المباريات التي تقام على ملاعبنا نظرا للاسلوب الهجومي الذي ينتهجه الفريقين ...,0
"حقيقة لاحظت ان هناك اختلاف في طريقة لعب الوحدات مع المدرب دراغان فلم يعد الوحدات يبني الهجوم بشكل متدرج و بتناقل الكرات السريعة بين اللاعبين و ذلك يعود للخطة الدفاعية الشكل التي يلعب بها دراغان , اقول للمدرب دراغان ان هذا الاسلوب لا يصلح محليا و قد يكلفنا الكثير هذا الاسلوب و قد نندم عليه",0
ارى ان نفس الخطأ الذي وقعنا به مع عمر مزيان ها هو يتكرر مع دراغان,0
اليوم سنودع الرمثا والجمعه سنرفع كأس الدرع ونعلن,0
اليوم الاخضر في كل مكان ستعود الحياه اعتبارا من اليوم للملاعب الاخضر سيزينها,0
صبـاح الغـــــد,0
ملعب القويسمة سيشهد اليوم نهائي مبكّــر بين المارد الأخضر و غزلان الشمال.,0
ملعب النار و الانتصار سيشهد اليوم أمسية كروية نتمنى أن تكون دسمة و ممتعـــة.,0
ارجو معرفة سبب التخلي عن اللاعبين اصحاب الشهرة الواسعة و الذين يقدمون أداء مميز في الملعب,0
